Date ,Open ,High ,Low ,Close ,Shares Traded 
28-FEB-2024,22214.1,22229.15,21915.85,21951.15,202952371
29-FEB-2024,21935.2,22060.55,21860.65,21982.8,360165824
01-MAR-2024,22048.3,22353.3,22047.75,22338.75,351503075
02-MAR-2024,22406.95,22419.55,22367.05,22378.4,35763814
04-MAR-2024,22403.5,22440.9,22358.3,22405.6,298794435
05-MAR-2024,22371.25,22416.9,22269.15,22356.3,296153036
06-MAR-2024,22327.5,22497.2,22224.35,22474.05,312262560
07-MAR-2024,22505.3,22525.65,22430,22493.55,379865142
11-MAR-2024,22517.5,22526.6,22307.25,22332.65,277897373
12-MAR-2024,22334.45,22452.55,22256,22335.7,299201167
13-MAR-2024,22432.2,22446.75,21905.65,21997.7,493341697
14-MAR-2024,21982.55,22204.6,21917.5,22146.65,426742460
15-MAR-2024,22064.85,22120.9,21931.7,22023.35,661460455
18-MAR-2024,21990.1,22123.7,21916.55,22055.7,356321519
19-MAR-2024,21946.45,21978.3,21793.1,21817.45,344157465
20-MAR-2024,21843.9,21930.9,21710.2,21839.1,312414696
21-MAR-2024,21989.9,22080.95,21941.3,22011.95,353172434
22-MAR-2024,21932.2,22180.7,21883.3,22096.75,388656439
26-MAR-2024,21947.9,22073.2,21947.55,22004.7,328403719
27-MAR-2024,22053.95,22193.6,22052.85,22123.65,409136866
28-MAR-2024,22163.6,22516,22163.6,22326.9,407422815
01-APR-2024,22455,22529.95,22427.75,22462,243637071
02-APR-2024,22458.8,22497.6,22388.15,22453.3,289524237
03-APR-2024,22385.7,22521.1,22346.5,22434.65,309647491
04-APR-2024,22592.1,22619,22303.8,22514.65,400986156
05-APR-2024,22486.4,22537.6,22427.6,22513.7,242244731
08-APR-2024,22578.35,22697.3,22550.35,22666.3,227633561
09-APR-2024,22765.1,22768.4,22612.25,22642.75,232356772
10-APR-2024,22720.25,22775.7,22673.7,22753.8,276847931
12-APR-2024,22677.4,22726.45,22503.75,22519.4,357187778
15-APR-2024,22339.05,22427.45,22259.55,22272.5,355465814
16-APR-2024,22125.3,22213.75,22079.45,22147.9,317267066
18-APR-2024,22212.35,22326.5,21961.7,21995.85,456906707
19-APR-2024,21861.5,22179.55,21777.65,22147,362530569
22-APR-2024,22336.9,22375.65,22198.15,22336.4,279259571
23-APR-2024,22447.05,22447.55,22349.45,22368,231520813
24-APR-2024,22421.55,22476.45,22384,22402.4,235898642
25-APR-2024,22316.9,22625.95,22305.25,22570.35,475044740
26-APR-2024,22620.4,22620.4,22385.55,22419.95,329887340
29-APR-2024,22475.55,22655.8,22441.9,22643.4,291957361
30-APR-2024,22679.65,22783.35,22568.4,22604.85,361859375
02-MAY-2024,22567.85,22710.5,22567.85,22648.2,445909456
03-MAY-2024,22766.35,22794.7,22348.05,22475.85,438060727
06-MAY-2024,22561.6,22588.8,22409.45,22442.7,320255789
07-MAY-2024,22489.75,22499.05,22232.05,22302.5,297815469
08-MAY-2024,22231.2,22368.65,22185.2,22302.5,277438692
09-MAY-2024,22224.8,22307.75,21932.4,21957.5,331327454
10-MAY-2024,21990.95,22131.3,21950.3,22055.2,265804411
13-MAY-2024,22027.95,22131.65,21821.05,22104.05,278186886
14-MAY-2024,22112.9,22270.05,22081.25,22217.85,230238941
15-MAY-2024,22255.6,22297.55,22151.75,22200.55,231935478
16-MAY-2024,22319.2,22432.25,22054.55,22403.85,368945092
17-MAY-2024,22415.25,22502.15,22345.65,22466.1,242654570
18-MAY-2024,22512.85,22520.25,22470.05,22502,19064566
21-MAY-2024,22404.55,22591.1,22404.55,22529.05,347591587
22-MAY-2024,22576.6,22629.5,22483.15,22597.8,290345590
23-MAY-2024,22614.1,22993.6,22577.45,22967.65,369767547
24-MAY-2024,22930.75,23026.4,22908,22957.1,261927120
27-MAY-2024,23038.95,23110.8,22871.2,22932.45,260006078
28-MAY-2024,22977.15,22998.55,22858.5,22888.15,217890750
29-MAY-2024,22762.75,22825.5,22685.45,22704.7,269932784
30-MAY-2024,22617.45,22705.75,22417,22488.65,373374457
31-MAY-2024,22568.1,22653.75,22465.1,22530.7,572122639
03-JUN-2024,23337.9,23338.7,23062.3,23263.9,569425569
04-JUN-2024,23179.5,23179.5,21281.45,21884.5,1006105058
05-JUN-2024,22128.35,22670.4,21791.95,22620.35,638487077
06-JUN-2024,22798.6,22910.15,22642.6,22821.4,480413289
07-JUN-2024,22821.85,23320.2,22789.05,23290.15,473554898
10-JUN-2024,23319.15,23411.9,23227.15,23259.2,304392368
11-JUN-2024,23283.75,23389.45,23206.65,23264.85,305185666
12-JUN-2024,23344.45,23441.95,23295.95,23322.95,295630910
13-JUN-2024,23480.95,23481.05,23353.9,23398.9,268279841
14-JUN-2024,23464.95,23490.4,23334.25,23465.6,223086741
18-JUN-2024,23570.8,23579.05,23499.7,23557.9,272207297
19-JUN-2024,23629.85,23664,23412.9,23516,328811255
20-JUN-2024,23586.15,23624,23442.6,23567,280336970
21-JUN-2024,23661.15,23667.1,23398.2,23501.1,609877803
24-JUN-2024,23382.3,23558.1,23350,23537.85,239358460
25-JUN-2024,23577.1,23754.15,23562.05,23721.3,298111025
26-JUN-2024,23723.1,23889.9,23670.45,23868.8,287824687
27-JUN-2024,23881.55,24087.45,23805.4,24044.5,515227010
28-JUN-2024,24085.9,24174,23985.8,24010.6,354779832
01-JUL-2024,23992.95,24164,23992.7,24141.95,242468081
02-JUL-2024,24228.75,24236.35,24056.4,24123.85,309629240
03-JUL-2024,24291.75,24309.15,24207.1,24286.5,289201551
04-JUL-2024,24369.95,24401,24281,24302.15,251189844
05-JUL-2024,24213.35,24363,24168.85,24323.85,298381204
08-JUL-2024,24329.45,24344.6,24240.55,24320.55,266299131
09-JUL-2024,24351,24443.6,24331.9,24433.2,250537091
10-JUL-2024,24459.85,24461.05,24141.8,24324.45,292263786
11-JUL-2024,24396.55,24402.65,24193.75,24315.95,306404194
12-JUL-2024,24387.95,24592.2,24331.15,24502.15,325823474
15-JUL-2024,24587.6,24635.05,24522.75,24586.7,305395934
16-JUL-2024,24615.9,24661.25,24587.65,24613,283212233
18-JUL-2024,24543.8,24837.75,24504.45,24800.85,350924425
19-JUL-2024,24853.8,24854.8,24508.15,24530.9,343772965
22-JUL-2024,24445.75,24595.2,24362.3,24509.25,324190553
23-JUL-2024,24568.9,24582.55,24074.2,24479.05,436408768
24-JUL-2024,24444.95,24504.25,24307.25,24413.5,366616574
25-JUL-2024,24230.95,24426.15,24210.8,24406.1,391821970
26-JUL-2024,24423.35,24861.15,24410.9,24834.85,383826136
29-JUL-2024,24943.3,24999.75,24774.6,24836.1,354966070
30-JUL-2024,24839.4,24971.75,24798.65,24857.3,384989431
31-JUL-2024,24886.7,24984.6,24856.5,24951.15,333646302
01-AUG-2024,25030.95,25078.3,24956.4,25010.9,431313292
02-AUG-2024,24789,24851.9,24686.85,24717.7,345027881
05-AUG-2024,24302.85,24350.05,23893.7,24055.6,486994718
06-AUG-2024,24189.85,24382.6,23960.4,23992.55,312339387
07-AUG-2024,24289.4,24337.7,24184.9,24297.5,317564429
08-AUG-2024,24248.55,24340.5,24079.7,24117,311875940
09-AUG-2024,24386.85,24419.75,24311.2,24367.5,215129992
12-AUG-2024,24320.05,24472.8,24212.1,24347,279925100
13-AUG-2024,24342.35,24359.95,24116.5,24139,239727640
14-AUG-2024,24184.4,24196.5,24099.7,24143.75,303254705
16-AUG-2024,24334.85,24563.9,24204.5,24541.15,271611087
19-AUG-2024,24636.35,24638.8,24522.95,24572.65,243645503
20-AUG-2024,24648.9,24734.3,24607.2,24698.85,238318940
21-AUG-2024,24680.55,24787.95,24654.5,24770.2,257114212
22-AUG-2024,24863.4,24867.35,24784.45,24811.5,220345125
23-AUG-2024,24845.4,24858.4,24771.65,24823.15,206800655
26-AUG-2024,24906.1,25043.8,24874.7,25010.6,210266456
27-AUG-2024,25024.8,25073.1,24973.65,25017.75,223346636
28-AUG-2024,25030.8,25129.6,24964.65,25052.35,220419448
29-AUG-2024,25035.3,25192.9,24998.5,25151.95,353993900
30-AUG-2024,25249.7,25268.35,25199.4,25235.9,638166179
02-SEP-2024,25333.6,25333.65,25235.5,25278.7,222815249
03-SEP-2024,25313.4,25321.7,25235.8,25279.85,212131921
04-SEP-2024,25089.95,25216,25083.8,25198.7,253788501
05-SEP-2024,25250.5,25275.45,25127.75,25145.1,222242223
06-SEP-2024,25093.7,25168.75,24801.3,24852.15,311671856
09-SEP-2024,24823.4,24957.5,24753.15,24936.4,254367252
10-SEP-2024,24999.4,25130.5,24896.8,25041.1,251274802
11-SEP-2024,25034,25113.7,24885.15,24918.45,279229206
12-SEP-2024,25059.65,25433.35,24941.45,25388.9,380069653
13-SEP-2024,25430.45,25430.5,25292.45,25356.5,250781898
16-SEP-2024,25406.65,25445.7,25336.2,25383.75,168694880
17-SEP-2024,25416.9,25441.65,25352.25,25418.55,215956868
18-SEP-2024,25402.4,25482.2,25285.55,25377.55,215727159
19-SEP-2024,25487.05,25611.95,25376.05,25415.8,314461263
20-SEP-2024,25525.95,25849.25,25426.6,25790.95,533067422
23-SEP-2024,25872.55,25956,25847.35,25939.05,209187756
24-SEP-2024,25921.45,26011.55,25886.85,25940.4,384115033
25-SEP-2024,25899.45,26032.8,25871.35,26004.15,278540972
26-SEP-2024,26005.4,26250.9,25998.4,26216.05,370895477
27-SEP-2024,26248.25,26277.35,26151.4,26178.95,490332370
30-SEP-2024,26061.3,26134.7,25794.1,25810.85,375370974
01-OCT-2024,25788.45,25907.6,25739.2,25796.9,247423786
03-OCT-2024,25452.85,25639.45,25230.3,25250.1,423395030
04-OCT-2024,25181.9,25485.05,24966.8,25014.6,374914801
07-OCT-2024,25084.1,25143,24694.35,24795.75,374345795
08-OCT-2024,24832.2,25044,24756.8,25013.15,333220055
09-OCT-2024,25065.8,25234.05,24947.7,24981.95,290562844
10-OCT-2024,25067.05,25134.05,24979.4,24998.45,261364749
11-OCT-2024,24985.3,25028.65,24920.05,24964.25,210462717
14-OCT-2024,25023.45,25159.75,25017.5,25127.95,206423311
15-OCT-2024,25186.3,25212.05,25008.15,25057.35,257228772
16-OCT-2024,25008.55,25093.4,24908.45,24971.3,226774456
17-OCT-2024,25027.4,25029.5,24728.9,24749.85,252755662
18-OCT-2024,24664.95,24886.2,24567.65,24854.05,290855392
21-OCT-2024,24956.15,24978.3,24679.6,24781.1,241978957
22-OCT-2024,24798.65,24882,24445.8,24472.1,279484697
23-OCT-2024,24378.15,24604.25,24378.1,24435.5,284556771
24-OCT-2024,24412.7,24480.65,24341.2,24399.4,216686434
25-OCT-2024,24418.05,24440.25,24073.9,24180.8,372642214
28-OCT-2024,24251.1,24492.6,24134.9,24339.15,278562235
29-OCT-2024,24328.85,24484.5,24140.85,24466.85,332044690
30-OCT-2024,24371.45,24498.2,24307.3,24340.85,285196335
31-OCT-2024,24349.85,24372.45,24172.6,24205.35,287007588
01-NOV-2024,24302.75,24368.25,24280.2,24304.35,38811387
04-NOV-2024,24315.75,24316.75,23816.15,23995.35,285531635
05-NOV-2024,23916.5,24229.05,23842.75,24213.3,289511197
06-NOV-2024,24308.75,24537.6,24204.05,24484.05,351082031
07-NOV-2024,24489.6,24503.35,24179.05,24199.35,322185588
08-NOV-2024,24207.7,24276.15,24066.65,24148.2,298725122
11-NOV-2024,24087.25,24336.8,24004.6,24141.3,273370562
12-NOV-2024,24225.8,24242,23839.15,23883.45,255825829
13-NOV-2024,23822.45,23873.6,23509.6,23559.05,304569316
14-NOV-2024,23542.15,23675.9,23484.15,23532.7,257708474
18-NOV-2024,23605.3,23606.8,23350.4,23453.8,263311912
19-NOV-2024,23529.55,23780.65,23464.8,23518.5,297477279
21-NOV-2024,23488.45,23507.3,23263.15,23349.9,420332354
22-NOV-2024,23411.8,23956.1,23359,23907.25,367562789
25-NOV-2024,24253.55,24351.55,24135.45,24221.9,687172787
26-NOV-2024,24343.3,24343.3,24125.4,24194.5,230691771
27-NOV-2024,24204.8,24354.55,24145.65,24274.9,295011445
28-NOV-2024,24274.15,24345.75,23873.35,23914.15,366745300
29-NOV-2024,23927.15,24188.45,23927.15,24131.1,282104071
02-DEC-2024,24140.85,24301.7,24008.65,24276.05,220384187
